time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,744,73,48,32
2026-07-23 00:00:00+00:00,844,97,40,30
2026-07-24 00:00:00+00:00,227,44,33,19
2026-07-25 00:00:00+00:00,483,64,16,15
2026-07-26 00:00:00+00:00,1158,74,15,15
2026-07-27 00:00:00+00:00,1701,124,25,18
2026-07-28 00:00:00+00:00,614,83,40,31
2026-07-29 00:00:00+00:00,501,53,57,39
2026-07-30 00:00:00+00:00,630,54,33,16
2026-07-31 00:00:00+00:00,2345,114,36,22
2026-08-01 00:00:00+00:00,2009,76,13,10
2026-08-02 00:00:00+00:00,2471,93,11,10
2026-08-03 00:00:00+00:00,1552,40,38,16
2026-08-04 00:00:00+00:00,3260,121,69,21
